,,GUERRERO,LA UNIÓN DE ISIDORO MONTES DE OCA,15.77,17.52,16.67,
29.0,LEON,JALISCO,UNION DE SAN ANTONIO,15.95,17.69,16.85,
,,,LAGOS DE MORENO,15.95,17.69,16.85,
,,,SAN DIEGO DE ALEJANDRIA,15.95,17.69,16.85,
,,GUANAJUATO,ROMITA,15.95,17.69,16.85,
,,,MANUEL DOBLADO,15.95,17.69,16.85,
,,,PURISIMA DEL RINCON,15.95,17.69,16.85,
,,,SAN FRANCISCO DEL RINCON,15.95,17.69,16.85,
,,,LEON,15.95,17.69,16.85,
30.0,MADERO,VERACRUZ DE IGNACIO DE LA LLAVE,CHINAMPA DE GOROSTIZA,15.23,16.98,16.14,
,,,OZULUAMA DE MASCAREÑAS,15.23,16.98,16.14,
,,,PANUCO,15.23,16.98,16.14,
,,,TAMPICO ALTO,15.23,16.98,16.14,
,,,CUICHAPA,15.23,16.98,16.14,
,,,PUEBLO VIEJO,15.23,16.98,16.14,
,,TAMAULIPAS,GONZALEZ,15.23,16.98,16.14,
,,,ALTAMIRA,15.23,16.98,16.14,
,,,TAMPICO,15.23,16.98,16.14,
,,,CIUDAD MADERO,15.23,16.98,16.14,
,,SAN LUIS POTOSÍ,EBANO,15.23,16.98,16.14,
,,HIDALGO,JALTOCAN,15.23,16.98,16.14,
32.0,MANTE,TAMAULIPAS,OCAMPO,15.5,17.24,16.39,
,,,XICOTENCATL,15.5,17.24,16.39,
,,,ANTIGUO MORELOS,15.5,17.24,16.39,
,,,EL MANTE,15.5,17.24,16.39,
,,SAN LUIS POTOSÍ,EL NARANJO,15.5,17.24,16.39,
33.0,MANZANILLO,JALISCO,CIHUATLAN,15.8,17.56,16.72,
,,,CUAUTITLAN DE GARCÍA BARRAGÁN,15.8,17.56,16.72,
,,,LA HUERTA,15.8,17.56,16.72,
,,MICHOACÁN DE OCAMPO,AQUILA,15.8,17.56,16.72,
,,,COAHUAYANA,15.8,17.56,16.72,
,,COLIMA,ARMERIA,15.8,17.56,16.72,
,,,IXTLAHUACAN,15.8,17.56,16.72,
,,,MANZANILLO,15.8,17.56,16.72,
,,,MINATITLAN,15.8,17.56,16.72,
,,,TECOMAN,15.8,17.56,16.72,
